Year_N,Age_of_Driver_N,Age_of_Vehicle_N,Accident_Area_Type_C,On_road_object_hit_C,Off_road_object_hit _C,Junction_Location_C,Car_Make_C,Driver_Sex_C,Vehicle_Manoeuvre_C,Vehicle_Type_C,Point_of_Impact_C,Cost_of_Incident_N,Weeks_to_Repair_N
2005,66,16,Urban area,Kerb,Lamp post,Mid Junction - on roundabout or on main road,NISSAN,Female,Slowing or stopping,Car,Front,632,11
2005,64,7,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,ASTON MARTIN,Male,Turning left,Car,Front,244,4
2005,39,3,Urban area,Bollard or refuge,Other permanent object,Entering main road,VOLKSWAGEN,Male,Turning right,Car,Front,384,2
2005,63,3,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,BMW,Male,Overtaking static vehicle - offside,Motorcycle ,Offside,669,12
2005,75,2,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,HONDA,Male,Going ahead other,Car,Front,666,4
2005,29,6,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,HONDA,Female,Changing lane to left,Car,Nearside,233,8
2005,79,5,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,PEUGEOT,Male,Going ahead other,Car,Offside,599,1
2005,48,2,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,FORD,Male,Going ahead other,Car,Front,315,11
2005,23,12,Urban area,Kerb,Road sign or traffic signal,Mid Junction - on roundabout or on main road,FORD,Male,Going ahead other,Van / Goods ,Nearside,380,6
2005,65,2,Urban area,Bollard or refuge,Other permanent object,Mid Junction - on roundabout or on main road,MERCEDES,Male,Going ahead other,Car,Front,585,3
2005,22,1,Urban area,Kerb,Near/Offside crash barrier,Cleared junction or waiting/parked at junction exit,CITROEN,Male,Going ahead other,Car,Nearside,257,3
2005,18,7,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,KAWASAKI,Male,Going ahead other,Motorcycle ,Offside,278,1
2005,24,4,Urban area,Kerb,Other permanent object,Approaching junction or waiting/parked at junction approach,HONDA,Male,Going ahead other,Car,Front,364,10
2005,74,1,Urban area,Kerb,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,PEUGEOT,Male,Going ahead other,Car,Front,536,8
2005,78,7,Urban area,Kerb,Near/Offside crash barrier,Approaching junction or waiting/parked at junction approach,HONDA,Male,Going ahead other,Motorcycle ,Offside,324,7
2005,18,13,Urban area,Kerb,Other permanent object,Leaving roundabout,VOLVO,Male,Going ahead other,Car,Front,475,0
2005,76,12,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,ROVER,Male,Going ahead other,Car,Front,248,11
